"key","surface","context","en","zh","ja","notes"
"generate.progressDrafting","Template.Generate","body","· drafting…","· 草擬中…","· 作成中…","suffix on the current running block in the progress list"
"generate.notePlaceholder","Template.Generate","placeholder","things the source doesn't say","來源沒提到的事","出典に書かれていないこと","note input placeholder"
"generate.capExceeded","Template.Generate","error","Template has {n} content blocks — max {max}. Remove some in the editor.","範本有 {n} 個內容區塊 —— 上限 {max}。請在編輯器移除一些。","テンプレートに {n} 個のコンテンツブロック —— 上限 {max}。エディターでいくつか削除してください。","guard message; MAX = 15"
"studio.unsaved","TemplateStudio","badge","Unsaved","未儲存","未保存","dirty indicator"
"studio.saveTemplate","TemplateStudio","button","Save template","儲存範本","テンプレートを保存","primary top-right"
"studio.templateName","TemplateStudio","option","Template name","範本名稱","テンプレート名","input label"
"studio.addBlock","TemplateStudio","body","Add a block","新增區塊","ブロックを追加","left-column heading"
"studio.maxBlocksTooltip","TemplateStudio","tooltip","Max {max} blocks","最多 {max} 個區塊","最大 {max} ブロック","disabled palette button tooltip"
"studio.maxBlocksNote","TemplateStudio","body","Max {max} blocks","最多 {max} 個區塊","最大 {max} ブロック","cap-reached note"
"studio.addPage","TemplateStudio","button","Add page","新增頁面","ページを追加","＋ new A4 page"
"studio.addPageTooltip","TemplateStudio","tooltip","Add a new A4 page (page break)","新增一頁 A4(分頁)","新しいA4ページを追加(改ページ)","tooltip on Add page button"
"studio.pageStyle","TemplateStudio","body","Page style","頁面樣式","ページスタイル","left-column heading"
"studio.font","TemplateStudio","option","Font","字型","フォント","select label; also used in inspector"
"studio.accent","TemplateStudio","option","Accent","強調色","アクセント","select label; also used in inspector"
"studio.firmLogo","TemplateStudio","body","Firm logo","公司標誌","会社ロゴ","left-column heading"
"studio.uploadLogo","TemplateStudio","button","Upload logo (PNG / SVG)…","上傳標誌(PNG / SVG)…","ロゴをアップロード(PNG / SVG)…","button on the file input"
"studio.replaceLogo","TemplateStudio","button","Replace logo…","更換標誌…","ロゴを差し替え…","button when logo already exists"
"studio.logoRemove","TemplateStudio","button","Remove","移除","削除","small button next to the logo preview"
"studio.showLogo","TemplateStudio","option","Show firm logo","顯示公司標誌","会社ロゴを表示","checkbox"
"studio.emptyCanvas","TemplateStudio","body","Add a block from the left to start.","從左側新增區塊以開始。","左側からブロックを追加して開始します。","empty state on the A4 canvas"
"studio.blankPage","TemplateStudio","body","Blank page — add a block or drag one here.","空白頁 —— 新增區塊或拖一個到這裡。","空白ページ —— ブロックを追加するか、ここにドラッグしてください。","empty A4 sheet"
"studio.firstPage","TemplateStudio","body","Add a block to start your first page.","新增區塊以開始你的第一頁。","ブロックを追加して最初のページを始めましょう。","empty state when no pages exist yet (PagedView)"
"studio.dragToMove","TemplateStudio","tooltip","Drag to move","拖曳以移動","ドラッグして移動","grip tooltip"
"studio.deleteBlock","TemplateStudio","tooltip","Delete block","刪除區塊","ブロックを削除","✕ button tooltip"
"studio.inspectorEmpty","TemplateStudio","body","Select a block to edit it.","選一個區塊來編輯。","編集するブロックを選択してください。","right-column empty state"
"studio.blockLabel","TemplateStudio","option","Label","標籤","ラベル","block label input in inspector"
"studio.content","TemplateStudio","body","Content","內容","コンテンツ","field group label"
"studio.contentGenerated","TemplateStudio","button","Generated","生成","生成","segmented control"
"studio.contentStatic","TemplateStudio","button","Static","固定","固定","segmented control"
"studio.promptLabel","TemplateStudio","option","Prompt for this block","這個區塊的提示詞","このブロックのプロンプト","textarea label"
"studio.promptPlaceholder","TemplateStudio","placeholder","What should this block say? e.g. Summarize the founding team, lead with prior exits.","這個區塊該寫什麼?例如:總結創辦團隊,以過去的退場經驗開頭。","このブロックに何を書くか?例:創業チームを要約し、過去のイグジットを冒頭に。","textarea placeholder"
"studio.fixedTextLabel","TemplateStudio","option","Fixed text","固定文字","固定テキスト","static content textarea label"
"studio.style","TemplateStudio","body","Style","樣式","スタイル","field group label"
"studio.size","TemplateStudio","option","Size","大小","サイズ","select label"
"studio.weight","TemplateStudio","option","Weight","字重","ウェイト","select label"
"studio.align","TemplateStudio","option","Align","對齊","配置","select label"
"studio.width","TemplateStudio","option","Width","寬度","幅","select label"
"studio.alignLeft","TemplateStudio","option","left","靠左","左","align option"
"studio.alignCenter","TemplateStudio","option","center","置中","中央","align option"
"studio.widthFull","TemplateStudio","option","full","整欄","全幅","width option"
"studio.widthHalf","TemplateStudio","option","half","半欄","半分","width option"
"block.cover","Block.Types","option","Cover","封面","表紙","palette label"
"block.heading","Block.Types","option","Heading","標題","見出し","palette label"
"block.paragraph","Block.Types","option","Paragraph","段落","段落","palette label"
"block.bullets","Block.Types","option","Bullets","條列","箇条書き","palette label"
"block.metrics","Block.Types","option","Metric strip","指標列","メトリクス","palette label"
"block.chart","Block.Types","option","Chart","圖表","チャート","palette label"
"block.table","Block.Types","option","Table","表格","テーブル","palette label"
"block.scoreBox","Block.Types","option","Score box","評分框","スコアボックス","palette label"
"block.logo","Block.Types","option","Logo","標誌","ロゴ","palette label"
"block.divider","Block.Types","option","Divider","分隔線","区切り線","palette label"
"block.pageBreak","Block.Types","option","Page break","分頁","改ページ","used only in metadata; visible name"
"block.ghost","Block.Preview","body","AI-generated · {prompt}","AI 生成 · {prompt}","AI生成 · {prompt}","shown when a generated block has no sample"
"learn.noProvider","FormatLearning","error","Connect a provider above first — link VHS-hosted, bring your own key (Anthropic, OpenAI, Gemini, Nvidia), or run Local.","請先在上方連接一個供應商 —— 連結 VHS 代管、自備金鑰(Anthropic、OpenAI、Gemini、Nvidia),或執行本機模型。","まず上でプロバイダーを接続してください —— VHSホスト版をリンク、自分のキーを持ち込む(Anthropic、OpenAI、Gemini、Nvidia)、またはローカルを実行。","shown when nothing usable is configured"
"learn.learnWith","FormatLearning","option","Learn with","學習供應商","学習プロバイダー","provider select label"
"learn.addMoreFiles","FormatLearning","button","Add more files…","新增更多檔案…","ファイルを追加…","file picker when files already selected"
"learn.chooseFiles","FormatLearning","button","Choose files (5–10)…","選擇檔案(5–10 份)…","ファイルを選択(5〜10点)…","file picker initial state"
"learn.filesHint","FormatLearning","body","Your firm's past memos / decks — PDF or text, up to {max} files. Text-based PDFs only (scanned ones need OCR, not supported yet).","你們公司過去的備忘錄 / 簡報 —— PDF 或文字,最多 {max} 個檔案。僅支援文字型 PDF(掃描檔需要 OCR,尚未支援)。","御社の過去のメモ/デック —— PDFまたはテキスト、最大 {max} ファイル。テキスト型PDFのみ(スキャン版はOCRが必要、未対応)。","hint under the picker"
"learn.removeFile","FormatLearning","tooltip","Remove {name}","移除 {name}","{name} を削除","aria-label on ✕ button per file"
"learn.learn","FormatLearning","button","Learn from these","從這些學習","これらから学習","primary"
"learn.learning","FormatLearning","button","Learning…","學習中…","学習中…","busy state"
"learn.readingFiles","FormatLearning","body","Reading files…","讀取檔案中…","ファイルを読み込み中…","progress message"
"learn.studying","FormatLearning","body","Studying {n} {docWord} with {provider}…","正在以 {provider} 研讀 {n} {docWord}…","{provider} で {n} {docWord} を分析中…","progress; docWord = document|documents"
"learn.document","FormatLearning","body","document","份文件","件の文書","singular form"
"learn.documents","FormatLearning","body","documents","份文件","件の文書","plural form"
"learn.rejectedUse","FormatLearning","error","{name} (use PDF or text)","{name}(請用 PDF 或文字)","{name}(PDFまたはテキストを使用)","rejected file: wrong type"
"learn.rejectedSize","FormatLearning","error","{name} (over {mb} MB)","{name}(超過 {mb} MB)","{name}({mb} MB超過)","rejected file: too big"
"learn.rejectedCap","FormatLearning","error","only the first {max} files are kept","僅保留前 {max} 個檔案","最初の {max} ファイルのみ保持","cap message"
"learn.skipped","FormatLearning","error","Skipped: {list}","已略過:{list}","スキップ:{list}","error prefix; list = '; '-joined"
"learn.savedAs","FormatLearning","body","Saved as ""{name}"" ({n} blocks)","已儲存為「{name}」({n} 個區塊)","「{name}」として保存({n} ブロック)","success detail per file; curly quotes"
"learn.noneReturned","FormatLearning","error","No template returned","未回傳範本","テンプレートが返されませんでした","fallback error per file"
"learn.cantRead","FormatLearning","error","Could not read the model's template","無法讀取模型回傳的範本","モデルのテンプレートを読み取れませんでした","fallback error per file"
"learn.learnedOne","FormatLearning","toast","Learned 1 template","已學習 1 個範本","テンプレートを1件学習しました","toast singular"
"learn.learnedMany","FormatLearning","toast","Learned {n} templates","已學習 {n} 個範本","テンプレートを {n} 件学習しました","toast plural"
"learn.noneLearned","FormatLearning","toast","No templates learned — see details","未學到任何範本 —— 詳見說明","テンプレートを学習できませんでした —— 詳細を確認","toast when everything failed"
"quota.reportsThisMonth","Common","toast","VHS-hosted · {n} reports this month","VHS 代管 · 本月 {n} 份報告","VHSホスト版 · 今月 {n} 件のレポート","hosted-run tail; new shape"
"quota.usedOf","Common","toast","VHS-hosted · {used}/{limit} reports used this month","VHS 代管 · 本月已用 {used}/{limit} 份報告","VHSホスト版 · 今月 {used}/{limit} 件のレポートを使用","hosted-run tail; old shape"
"quota.generated","Common","toast","VHS-hosted report generated","已生成 VHS 代管報告","VHSホスト版レポートを生成しました","hosted-run tail; no counters"
"starter.simpleMemoName","Starter.Template","title","Simple memo","簡易備忘錄","シンプルメモ","starter template name"
"starter.simpleMemoDesc","Starter.Template","body","A one-pager: company, thesis, risks, and the call. ~5 minutes.","單頁:公司、論點、風險與結論。約 5 分鐘。","1ページ:会社、仮説、リスク、結論。約5分。","gallery description"
"starter.fullMemoName","Starter.Template","title","Full memo","完整備忘錄","フルメモ","starter template name"
"starter.fullMemoDesc","Starter.Template","body","A two-page structured memo with metrics, market, risks, and a score.","兩頁結構化備忘錄,含指標、市場、風險與評分。","メトリクス、市場、リスク、スコアを含む2ページの構造化メモ。","gallery description"
"starter.simpleIcName","Starter.Template","title","Simple IC","簡易 IC","シンプルIC","starter template name"
"starter.simpleIcDesc","Starter.Template","body","Three passes — founder, market, recommendation — plus a score. ~10 minutes.","三輪 —— 創辦人、市場、投資建議 —— 加上評分。約 10 分鐘。","3パス —— 創業者、市場、投資判断 —— にスコアを追加。約10分。","gallery description"
"starter.fullIcName","Starter.Template","title","Full IC","完整 IC","フルIC","starter template name"
"starter.fullIcDesc","Starter.Template","body","Five sections with sub-blocks — founder, market, traction, terms, recommendation — plus charts and a score. ~30 minutes.","五個章節加子區塊 —— 創辦人、市場、成長動能、條件、投資建議 —— 再加圖表與評分。約 30 分鐘。","サブブロック付きの5セクション —— 創業者、市場、トラクション、条件、投資判断 —— にチャートとスコアを追加。約30分。","gallery description"
"starter.blockCompany","Starter.Blocks","title","Company","公司","会社","block label"
"starter.blockSnapshot","Starter.Blocks","title","Snapshot","快照","スナップショット","block label"
"starter.blockThesis","Starter.Blocks","title","Thesis","投資論點","投資仮説","block label"
"starter.blockRisks","Starter.Blocks","title","Risks","風險","リスク","block label"
"starter.blockRecommendation","Starter.Blocks","title","Recommendation","投資建議","投資判断","block label"
"starter.blockLogo","Starter.Blocks","title","Logo","標誌","ロゴ","block label"
"starter.blockAtAGlance","Starter.Blocks","title","At a glance","一覽","一目でわかる","block label"
"starter.blockWhatTheyDo","Starter.Blocks","title","What they do","他們在做什麼","事業内容","block label"
"starter.blockMarket","Starter.Blocks","title","Market","市場","市場","block label"
"starter.blockWhyNow","Starter.Blocks","title","Why now","為何是現在","なぜ今か","block label"
"starter.blockScore","Starter.Blocks","title","Score","評分","スコア","block label"
"starter.blockFounderTeam","Starter.Blocks","title","Founder & team","創辦人與團隊","創業者とチーム","block label"
"starter.blockCover","Starter.Blocks","title","Cover","封面","表紙","block label"
"starter.blockDealSnapshot","Starter.Blocks","title","Deal snapshot","案件快照","案件スナップショット","block label"
"starter.blockMarketSize","Starter.Blocks","title","Market size (TAM / SAM / SOM)","市場規模(TAM / SAM / SOM)","市場規模(TAM / SAM / SOM)","block label; TAM/SAM/SOM = acronyms OK"
"starter.blockProductTraction","Starter.Blocks","title","Product & traction","產品與成長動能","プロダクトとトラクション","block label"
"starter.blockTraction","Starter.Blocks","title","Traction","成長動能","トラクション","block label"
"starter.blockRoundTerms","Starter.Blocks","title","Round & terms","輪次與條件","ラウンドと条件","block label"
"starter.blockCapTable","Starter.Blocks","title","Cap table & terms","股權結構與條件","キャップテーブルと条件","block label"
"starter.staticFirmLogo","Starter.Blocks","body","Firm logo","公司標誌","会社ロゴ","static fallback text on logo block"
"deal.loading","DealView","body","Loading report…","載入報告中…","レポートを読み込み中…","loading state"
"deal.notFound","DealView","error","This report could not be found — it may have been deleted.","找不到這份報告 —— 可能已被刪除。","このレポートが見つかりません —— 削除された可能性があります。","not-found state"
"deal.rename","DealView","button","Rename","重新命名","名前を変更","action"
"deal.deleteReport","DealView","button","Delete report","刪除報告","レポートを削除","action"
"deal.save","Common","button","Save","儲存","保存","generic save button (used across DealHeader/VersionViewer)"
"deal.cancel","Common","button","Cancel","取消","キャンセル","generic cancel button (multiple places)"
"deal.confirmDelete","Common","button","Confirm delete","確認刪除","削除を確認","generic confirm-delete two-step"
"deal.nameRequired","DealView","toast","Report name is required","報告名稱為必填","レポート名は必須です","toast when rename fails validation"
"deal.renamed","DealView","toast","Report renamed","已重新命名報告","レポート名を変更しました","toast"
"deal.renameFailed","DealView","toast","Rename failed: {error}","重新命名失敗:{error}","名前の変更に失敗:{error}","toast"
"deal.lastUpdated","DealView","body","Last updated {date}","上次更新 {date}","最終更新 {date}","H2 sub"
"deal.sourcesTitle","DealView.Sources","title","Sources","來源","ソース","panel H3"
"deal.addSource","DealView.Sources","button","+ Add source","+ 新增來源","+ ソースを追加","action"
"deal.sourcesHint","DealView.Sources","body","Everything the report has accumulated — decks, text, links. A new version is generated from all of these at once.","報告累積的所有內容 —— 簡報、文字、連結。新版本會一次從這些全部生成。","レポートに蓄積されたすべて —— デック、テキスト、リンク。新規バージョンはこれらすべてから一度に生成されます。","panel hint"
"deal.sourcesEmpty","DealView.Sources","body","No sources yet. Add a deck, paste text, or drop a URL to get started.","尚無來源。新增簡報、貼上文字,或放入網址即可開始。","まだソースがありません。デックの追加、テキストの貼り付け、URLの投入で始められます。","empty state"
"deal.removeSourceTooltip","DealView.Sources","tooltip","Remove source","移除來源","ソースを削除","× button tooltip + aria"
"deal.sourceRemoved","DealView.Sources","toast","Source removed","已移除來源","ソースを削除しました","toast"
"deal.sourceRemoveFailed","DealView.Sources","toast","Remove failed: {error}","移除失敗:{error}","削除に失敗:{error}","toast"
"deal.deckAdded","DealView.Sources","toast","Deck added","已新增簡報","デックを追加しました","toast singular PDF"
"deal.filesAdded","DealView.Sources","toast","{n} files added","已新增 {n} 個檔案","{n} ファイルを追加しました","toast multiple PDFs"
"deal.textAdded","DealView.Sources","toast","Text added","已新增文字","テキストを追加しました","toast"
"deal.urlAdded","DealView.Sources","toast","URL added","已新增網址","URLを追加しました","toast"
"deal.addFailed","DealView.Sources","toast","Add failed: {error}","新增失敗:{error}","追加に失敗:{error}","toast"
"deal.addSourcePdfTab","DealView.Sources","button","PDF","PDF","PDF","add-source tab"
"deal.addSourceTextTab","DealView.Sources","button","Pasted text","貼上文字","貼り付けテキスト","add-source tab"
"deal.addSourceUrlTab","DealView.Sources","button","URL","網址","URL","add-source tab"
"deal.addSourceChoosePdfs","DealView.Sources","button","Choose PDF file(s)…","選擇 PDF 檔案…","PDFファイルを選択…","add-source pick-first"
"deal.addSourceChooseOtherPdfs","DealView.Sources","button","Choose other PDFs…","選擇其他 PDF…","別のPDFを選択…","add-source replace-selection"
"deal.addSourcePdfHint","DealView.Sources","body","Pitch deck, data room exports, supplements. Text-based PDFs only.","募資簡報、資料室匯出檔、補充資料。僅支援文字型 PDF。","ピッチデック、データルームのエクスポート、補足資料。テキスト型PDFのみ。","hint under add-source PDF picker"
"deal.addSourceTextLabelPh","DealView.Sources","placeholder","Label (optional) — e.g. founder email, call notes","標籤(選填)—— 例如:創辦人 email、通話筆記","ラベル(任意)—— 例:創業者のメール、通話メモ","text-source label input"
"deal.addSourceTextPh","DealView.Sources","placeholder","Paste website copy, founder bio, deck text, data-room notes…","貼上網站文案、創辦人簡歷、簡報文字、資料室筆記…","ウェブサイトの文面、創業者略歴、デックのテキスト、データルームのメモを貼り付け…","textarea"
"deal.addToReport","DealView.Sources","button","Add to report","新增到報告","レポートに追加","primary in add-source form"
"deal.adding","DealView.Sources","button","Adding…","新增中…","追加中…","busy state"
"deal.pastedText","DealView.Sources","body","Pasted text","貼上的文字","貼り付けテキスト","default label when a text source has none — used as its stored name"
"deal.versionsTitle","DealView.Versions","title","Versions","版本","バージョン","panel H3"
"deal.newVersion","DealView.Versions","button","+ New version","+ 新版本","+ 新規バージョン","primary"
"deal.newVersionTip","DealView.Versions","tooltip","Generate a new version from all sources","從所有來源生成新版本","すべてのソースから新規バージョンを生成","when enabled"
"deal.newVersionTipDisabled","DealView.Versions","tooltip","Add a source first","請先新增來源","先にソースを追加してください","when disabled"
"deal.versionsHint","DealView.Versions","body","The report's history. Each version is a full re-generate from all sources at that point in time. Newest first.","報告的歷史。每個版本都是在該時間點從所有來源完整重新生成。最新在前。","レポートの履歴。各バージョンはその時点の全ソースからの完全な再生成です。新しい順。","panel hint"
"deal.versionsEmpty","DealView.Versions","body","No versions yet. Add a source, then hit ""New version"".","尚無版本。新增來源後,按「新版本」。","まだバージョンがありません。ソースを追加してから「新規バージョン」を押してください。","empty state"
"deal.versionOpenTip","DealView.Versions","tooltip","Open v{n}","開啟 v{n}","v{n} を開く","row title"
"deal.kindIc","Common","badge","IC report","IC 報告","ICレポート","version kind label"
"deal.kindMemo","Common","badge","Memo","備忘錄","メモ","version kind label"
"deal.backToReport","DealView.Version","button","← Back to report","← 返回報告","← レポートに戻る","back button"
"deal.saveChanges","DealView.Version","button","Save changes","儲存變更","変更を保存","primary in edit mode"
"deal.editMarkdown","DealView.Version","title","Edit markdown","編輯 markdown","Markdownを編集","editor title"
"deal.editBtn","DealView.Version","button","Edit","編輯","編集","action"
"deal.copyBtn","DealView.Version","button","Copy","複製","コピー","action"
"deal.deleteVersion","DealView.Version","button","Delete version","刪除版本","バージョンを削除","action"
"deal.versionUpdated","DealView.Version","toast","Version updated","已更新版本","バージョンを更新しました","toast"
"deal.saveFailed","DealView.Version","toast","Save failed: {error}","儲存失敗:{error}","保存に失敗:{error}","toast"
"deal.versionCopied","DealView.Version","toast","Version copied","已複製版本","バージョンをコピーしました","toast"
"deal.versionDeleted","DealView.Version","toast","Version deleted","已刪除版本","バージョンを削除しました","toast"
"deal.deleteFailed","DealView.Version","toast","Delete failed: {error}","刪除失敗:{error}","削除に失敗:{error}","toast"
"newVersion.title","DealView.NewVersion","title","New version","新版本","新規バージョン","modal title"
"newVersion.subSingle","DealView.NewVersion","body","Re-generates from all {n} source in this report. This will be v{seq}.","從這份報告的全部 {n} 個來源重新生成。這將是 v{seq}。","このレポートの全 {n} ソースから再生成します。これが v{seq} になります。","singular; n=1"
"newVersion.subMulti","DealView.NewVersion","body","Re-generates from all {n} sources in this report. This will be v{seq}.","從這份報告的全部 {n} 個來源重新生成。這將是 v{seq}。","このレポートの全 {n} ソースから再生成します。これが v{seq} になります。","plural"
"newVersion.kindLabel","DealView.NewVersion","option","Report kind","報告類型","レポートの種類","select label"
"newVersion.kindMemoOpt","DealView.NewVersion","option","Quick Memo (~2-page)","快速備忘錄(約 2 頁)","クイックメモ(約2ページ)","option"
"newVersion.kindIcOpt","DealView.NewVersion","option","Full IC (5 sections)","完整 IC(5 個章節)","フルIC(5セクション)","option"
"newVersion.templateBuiltIn","DealView.NewVersion","option","Built-in {kind}","內建 {kind}","内蔵 {kind}","option for the built-in memo/ic template; kind = 'IC' or 'memo'"
"newVersion.templateBuiltInIc","DealView.NewVersion","option","IC","IC","IC","interpolated substring for built-in"
"newVersion.templateBuiltInMemo","DealView.NewVersion","option","memo","備忘錄","メモ","interpolated substring for built-in"
"newVersion.noProviderOpt","DealView.NewVersion","option","(no provider)","(無供應商)","(プロバイダーなし)","option when empty"
"newVersion.noteLabel","DealView.NewVersion","option","Note (shown in the version list)","備註(顯示在版本清單)","メモ(バージョン一覧に表示)","input label"
"newVersion.notePh","DealView.NewVersion","placeholder","e.g. ""from deck"" or ""+ added source""","例如「來自簡報」或「+ 新增來源」","例:「デックから」「+ ソース追加」","placeholder; smart quotes"
"newVersion.progressIc","DealView.NewVersion","body","Writing IC sections from all sources… this can take a minute.","正在從所有來源撰寫 IC 章節…可能需要一分鐘。","全ソースからICセクションを作成中…1分ほどかかることがあります。","progress message"
"newVersion.progressMemo","DealView.NewVersion","body","Drafting the memo from all sources…","正在從所有來源草擬備忘錄…","全ソースからメモを作成中…","progress message"
"newVersion.progressSuffix","DealView.NewVersion","body","· generating…","· 生成中…","· 生成中…","small suffix on progress line"
"newVersion.generate","DealView.NewVersion","button","Generate version","生成版本","バージョンを生成","primary"
"newVersion.generating","DealView.NewVersion","button","Generating…","生成中…","生成中…","busy state"
"newVersion.generatedToast","DealView.NewVersion","toast","Version v{seq} generated","已生成版本 v{seq}","バージョン v{seq} を生成しました","toast"
"newVersion.dialogAria","DealView.NewVersion","tooltip","Generate a new version","生成新版本","新規バージョンを生成","aria-label on modal"
"saveToDeal.title","SaveToDeal","title","Save to report","儲存至報告","レポートに保存","modal H3"
"saveToDeal.subIc","SaveToDeal","body","Fold this IC report into a report so it can evolve as you gather more — a data room, supplements, a second deck.","把這份 IC 報告收進一份報告,讓它隨你蒐集更多資料而演進 —— 資料室、補充資料、第二份簡報。","このICレポートを1つのレポートにまとめ、資料が増えるにつれて進化させられます —— データルーム、補足資料、2つ目のデック。","sub when kind=ic"
"saveToDeal.subMemo","SaveToDeal","body","Fold this memo into a report so it can evolve as you gather more — a data room, supplements, a second deck.","把這份備忘錄收進一份報告,讓它隨你蒐集更多資料而演進 —— 資料室、補充資料、第二份簡報。","このメモを1つのレポートにまとめ、資料が増えるにつれて進化させられます —— データルーム、補足資料、2つ目のデック。","sub when kind=memo"
"saveToDeal.tabNew","SaveToDeal","button","New report","新報告","新規レポート","tab"
"saveToDeal.tabExisting","SaveToDeal","button","Existing report","既有報告","既存のレポート","tab"
"saveToDeal.noReports","SaveToDeal","tooltip","No reports yet","尚無報告","まだレポートがありません","tooltip when Existing tab disabled"
"saveToDeal.addToExisting","SaveToDeal","tooltip","Add to an existing report","加入既有的報告","既存のレポートに追加","tooltip when Existing tab enabled"
"saveToDeal.reportName","SaveToDeal","option","Report name","報告名稱","レポート名","input label"
"saveToDeal.reportNamePh","SaveToDeal","placeholder","e.g. Acme Robotics — Seed","例如:Acme Robotics —— Seed","例:Acme Robotics —— Seed","input placeholder"
"saveToDeal.addToLabel","SaveToDeal","option","Add to","加入到","追加先","select label"
"saveToDeal.sourceAttachedHint","SaveToDeal","body","The source ({kind} · {name}) is attached to the report too, so a later ""New version"" regenerates from it.","這份來源({kind} · {name})也會附加到報告,之後的「新版本」會從它重新生成。","このソース({kind} · {name})もレポートに添付され、後で「新規バージョン」を押すとそこから再生成されます。","hint under target tabs; {kind} = 'PDF' | 'TEXT' | 'URL' (uppercase)"
"saveToDeal.noSourceHint","SaveToDeal","body","Heads up — this run's source couldn't be captured, so the version is saved without an attached source. Add one from the report view to regenerate later.","注意 —— 這次執行的來源無法擷取,因此版本會在未附加來源的情況下儲存。之後可從報告檢視新增一個,以便重新生成。","ご注意 —— 今回の実行のソースを取得できなかったため、ソースを添付せずにバージョンを保存します。後でレポート画面から追加すれば再生成できます。","fallback hint"
"saveToDeal.versionNoteLabel","SaveToDeal","option","Version note (optional)","版本備註(選填)","バージョンメモ(任意)","input label"
"saveToDeal.versionNotePhNew","SaveToDeal","placeholder","from deck","來自簡報","デックから","placeholder when creating new report"
"saveToDeal.versionNotePhExisting","SaveToDeal","placeholder","+ added source","+ 新增來源","+ ソース追加","placeholder when adding to existing"
"saveToDeal.createNew","SaveToDeal","button","Create report","建立報告","レポートを作成","primary when target=new"
"saveToDeal.addToBtn","SaveToDeal","button","Add to report","新增到報告","レポートに追加","primary when target=existing"
"saveToDeal.saving","SaveToDeal","button","Saving…","儲存中…","保存中…","busy state"
"saveToDeal.savedNew","SaveToDeal","toast","Saved as a new report","已儲存為新報告","新規レポートとして保存しました","toast"
"saveToDeal.savedExisting","SaveToDeal","toast","Added to report","已加入報告","レポートに追加しました","toast"
"saveToDeal.dialogAria","SaveToDeal","tooltip","Save to report","儲存至報告","レポートに保存","aria-label on modal"
"common.dealFallbackMemo","Common","body","Memo","備忘錄","メモ","fallback deal name when no heading found (QuickMemo)"
"common.dealFallbackIc","Common","body","IC report","IC 報告","ICレポート","fallback deal name when no heading found (IcReport)"
"common.justNow","Common","body","just now","剛剛","たった今","relative time in sidebar"
"common.minsAgo","Common","body","{m}m ago","{m} 分鐘前","{m}分前","relative time"
"common.hoursAgo","Common","body","{h}h ago","{h} 小時前","{h}時間前","relative time"
"common.daysAgo","Common","body","{d}d ago","{d} 天前","{d}日前","relative time"
